sample_id,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Mitochondrion
Saliva-04F,4.701215315724925e-05,8.787448837195725e-05,0.0001364828017072758,4.4034558126589865e-05,0.0006218360805058768,7.51020336667309e-05,0.00010692369224660911,0.0008159773920253173,4.525098238423047e-05,0.0003225957131262882
Saliva-04G,9.813022460033612e-05,0.00026301745529053844,0.0002952713730897929,0.00023190618836339933,0.0003233182581326228,0.00011413524052151624,0.0002193110594321285,0.0016539871373868872,0.0005079602513312532,0.0002087934775410673
Saliva-04H,1.2851273427554223e-05,7.613029582146515e-05,7.451578710094468e-05,5.878467649074524e-05,0.00030737762179139675,3.0116797286631803e-05,4.067320045926564e-05,0.0006619485754133918,2.2975701022791275e-05,0.0003514661291594557
Saliva-05A,2.580881192604874e-05,4.2689999162076465e-05,4.674731313202588e-05,3.557499930173038e-05,0.0007056198208607679,4.092594960992455e-05,3.9250102535380216e-05,9.878677492050752e-05,0.00011289917133772288,0.0002998884238658264
Saliva-05B,6.694488665437504e-05,0.00020529765240675013,0.00017075705212030637,0.00011643263382942067,0.0006966498536646117,8.416230774020799e-05,8.416230774020798e-05,0.0043083317765738845,0.00026270315710816365,0.00030162214334641013
Saliva-05C,4.786694387801764e-05,0.0003732147330125495,0.00027673894329476853,0.0001301657480319267,0.0010960174750251307,0.00010402321544400194,0.00017555968537079193,0.0027203547508857285,0.00011375830080101154,0.0003117414973873875
Saliva-05D,9.290847213123371e-05,0.00037671827617991635,0.0002707726835062956,0.0002706014167868103,0.002246334292769496,0.00016431329067421882,0.00022555826956217033,0.0016790989178341062,0.00012022923707869673,0.00037918451694050496
Saliva-05E,4.950249776919527e-05,0.00015154659764182529,8.125560467875647e-05,8.64768483528934e-05,0.001004436751812098,6.813722994748735e-05,0.00010573018440127346,0.0009770252225228787,0.00017523799081322174,0.0002075444360469442
Saliva-05F,2.821911073429889e-05,0.00010422258231201056,0.00012698599830434498,7.169744431010753e-05,0.001313756377519026,8.05185292951995e-05,0.00010691907511551024,6.647168306301516e-05,7.399677925882819e-05,0.0003900508194829758
Saliva-05G,0.00013439771171956788,0.0011737813053038022,0.0004239958170215048,0.0004413131692318693,0.00561584973454175,0.00019339572049123185,0.0002781948838955328,0.004952204107899393,0.00024635330079905617,0.0007155976832734488
Saliva-05H,1.5598713351785183e-05,0.0001056519473640271,0.00019251972697464066,1.7032897962865403e-05,0.00032746346083537014,3.1522856229866394e-05,8.024654040251377e-05,0.00027564506703285,1.1515198622782246e-05,0.00033753925963030454
Saliva-06A,2.1368388887583044e-05,0.00010094098166049804,6.332439860724128e-05,4.578679567621426e-05,0.0009627828962374596,5.047049083024902e-05,7.025542731052142e-05,0.0006156013675549725,0.00010144505647528208,0.00033962040646072684
Saliva-06B,1.0073095730227837e-05,1.5222155177085417e-05,2.344211897271155e-05,2.2731751731114226e-05,0.00024477225524753354,1.577015276346049e-05,1.9788801730211043e-05,8.219963795626127e-05,6.819525519334269e-05,0.0001619637310841889
Saliva-06C,1.8886866050174638e-05,4.974700096651316e-05,5.7742054693274205e-05,3.573098085293207e-05,0.0004293639964371672,3.808014478746186e-05,5.359647127939811e-05,0.0003997526863380522,5.389258438038926e-05,0.00016523111035306155
Saliva-06D,5.540972482115711e-05,2.9264993300016576e-05,5.221554821164783e-05,5.181077652008468e-05,0.00012750308284239587,5.67692297417334e-05,5.039407559961361e-05,0.00013478897329053277,5.5858493435716284e-05,0.0001754685282926305
Saliva-06E,3.370455715888194e-05,0.0002773968466003965,0.00010018687338795058,7.342300413774155e-05,0.0007325721025743053,3.140609789891784e-05,6.323852291863547e-05,0.0010160796379061654,6.110688731463651e-05,0.0002913235325465229
